name,path,sha,size,url,html_url,git_url,download_url,type,_links
README.md,README.md,598a2fcce7d6eda4a8df5d77991bed23203c95e9,32,https://api.github.com/repos/bidoofd/SoftwareDesignAndConstruction/contents/README.md?ref=test,https://github.com/bidoofd/SoftwareDesignAndConstruction/blob/test/README.md,https://api.github.com/repos/bidoofd/SoftwareDesignAndConstruction/git/blobs/598a2fcce7d6eda4a8df5d77991bed23203c95e9,https://raw.githubusercontent.com/bidoofd/SoftwareDesignAndConstruction/test/README.md,file,[object Object]
test.txt,test.txt,65cdb12e67c1f635a6048a84a400f75366724cea,25,https://api.github.com/repos/bidoofd/SoftwareDesignAndConstruction/contents/test.txt?ref=test,https://github.com/bidoofd/SoftwareDesignAndConstruction/blob/test/test.txt,https://api.github.com/repos/bidoofd/SoftwareDesignAndConstruction/git/blobs/65cdb12e67c1f635a6048a84a400f75366724cea,https://raw.githubusercontent.com/bidoofd/SoftwareDesignAndConstruction/test/test.txt,file,[object Object]
